sent_id	img_id	txt_caption
0	EiS5L2wmSbJq8Y3u	A picture of a man standing next to a horse on grass during the day with many vehicles in the background.
1	P5xKs0Q1QB8vbgVH	A man is holding up a fish.
2	u5EXhe28CW4XySoT	There is man motioning with his hands in front of signs in a field.
3	cpmk_ry7TG3lTvlX	A man wearing a green coat holding something in his hand.
4	IawGgdRJoTmZSYEs	Chairs in a circle in front of some books.
5	kQf_XtActxLsdRe3	A woman with a guitar and a suitcase.
6	IiJX5MLQ_gu7qUT3	A man sits down in front of a yellow classic car.
7	AiEI0dA7N_D0OIKS	A woman wearing a blue and white dress with painted stripes on her face.
8	Ps-BfXJwLZOCpLCw	The side view of a large wooden ship.
9	7SFv6ouB3Jqdns9R	There is a green electric bus on the road.
10	XXeCeBnuSlHscRc_	A white cow eating grass.
11	uYiFoIB-W9sMvNyp	The inside of a fancy church or something with statues in the far back .
12	hInjD0vu00biz6Rk	A female child in a white dress walks while smiling.
13	CIVCVCkwG35uWqHj	Building rooftops against the hills.
14	35o477J3SpfZlU12	Two children posing on a statue in a playground.
15	RlOo3RTA-meqwLb-	Blonde child in white shirt and braces smiling.
16	YUBscMGO6v7hW3Zd	A man wearing a hat holds an ax and some papers.
17	o0b8CwTZlffAzEEU	An ugly woman making hand gestures on stage.
18	bmiRTORScHeGnHpq	A bull with very long horns standing outdoors in a field.
19	FP1y8UHLOLjn11mz	A man standing next to a car parked in front of a building.
20	PwD3S2vdXdLMVsQR	Two men shaking hands and posing.
21	KqFWmDOTAJshNmgb	A man in a black shirt holding a tarantula in his hands.
22	v-91JqRv9DCt_cK4	A picture of some people out at the beach having a nice little pic-nik.
23	-5hmxemuUqlVnYL3	A man is stood on a mountain.
24	WB2LrglktXazW5Xh	A young boy holding several balloons in mid air with a man in uniform pointing at him.
25	GPv6NJxT1kjvfYRM	A pool table sits in side a room with many other objects.
26	Oc5XDdKJJtVV4lDD	Multiple sailing boats on a river coasted by trees and houses.
27	cx3boQXo9rY2i7tk	Two people holding gifts in the hands.
28	dxqZfLO9sT1OD_nj	A really neat looking building that looks like a small castle.
29	VVfBPvG35hpbw7cG	Many people carrying all sorts of objects hanging off the outside of a train on the tracks.
30	cp5WOFlifhj-Thsp	A boat carrying many people.
31	oh5Da3IB11npo9qL	There are three men working.
32	trEwzIXm_Zv3oa07	An older woman sitting in a wheel chair.
33	-ucfJdNWN1G7UB3Q	A tourist vehicle waiting while an elephant crossed the road.
34	pNcOLtB-xFNyIEG_	Family sitting on the back of a boat in a calm sea.
35	pvlPM3g7lwMmBJGv	A tall monument with a blue sky background.
36	dHmlu5jm6T6coC2u	A man is standing in front of a white memorial stone.
37	Bs9RRGQyCD7vz1oW	Several people walking down a paved city street.
38	-qIw0-8p3LPVt0nM	A man in glasses sits by a desk with a computer on it.
39	xe_UY8v7ae2qI4dF	The one that nails are decorated in different colors.
40	jnVnIo6v5EW4G_b3	Two women in a kitchen.
41	RFWwx116EwiFYVqF	A group pf people that have joined for something.
42	2CJxF38F_Qgg6Fhi	There is a man with a cowboy hat.
43	SJsgb1WFDlT5KbAB	A man is holding a measuring instrument.
44	wryQhn5E7i3XhhSO	A person cutting their meat on a plate with meat asparagus and bread in a restaurant.
45	2LxM877IDi6xwbXX	Two trucks with blue beds parked near each other.
46	-PNOjxOjVGR7tmk7	A large ship comes into the port.
47	qEvoOrB0OcTCezPo	A sports field with soccer nets and covered spectator seats.
48	Sa9koeAjrj75OakX	A large group of people are standing in a crowd.
49	-fC0_r4cS1qMlo9Z	A car parked outside in the grass.
50	X9Ypnre_7v1qar1u	A woman photographs some sheep.
51	hJ8bCmWOVZMj2ABi	A man, a woman and a younger female, sitting side by side on white seats, with the young girl next to the aisle.
52	AP5oyUADRlcGN3K_	A group of people sat at a long table are smiling for a photo, there is the large trunk of a tree behind them, in the fore front of the picture is another table that is bare aside from a few glasses and jugs that are atop it, they are outside and the picture is black and white.
53	BF-lA4iOtcmXDJRt	Three men, one from an opposing team, playing sports inside a gym.
